ID #	Title Card Image	Location Image	Show	Season	Episode	Episode Title	Fictional Location	Filming Location 	Address	GPS LAT	GPS LONG	Description	Notes		Neighborhood	Borough	Building Type	
SATC-TV1	https://drive.google.com/file/d/1lf8T6hn7Jy44M0RT1yzIBo9z3VudlTA6/view?usp=share_link		Sex and The City	1	12	Oh Come All Ye Faithful	Big's Church	St. Patrick’s Cathedral	631 5th Ave	40.75882214	-73.97770574	"There he was, wearing Armani on a Sunday. Up until that moment I thought he only believed in the Yankees."			Midtown	Manhattan	Church	
SATC-TV2	https://drive.google.com/file/d/1lf8T6hn7Jy44M0RT1yzIBo9z3VudlTA6/view?usp=share_link		Sex and The City	2	1	Take Me Out To The Ballgame	Yankee Stadium		1 E 161st St	40.83016684	-73.92656416	“Do you know what the odds of catching a fly ball are? I didn’t. But I couldn’t help wondering if they were any higher than finding a relationship that would last.” 			South Bronx	the Bronx	Public Venue	
SATC-TV3	https://drive.google.com/file/d/1lf8T6hn7Jy44M0RT1yzIBo9z3VudlTA6/view?usp=share_link		Sex and The City	2	8	The Man, the Myth, the Viagra	Steve's Bar	Onieal's Bar	174 Grand St	40.72021568	-73.99816015	"I can't have dinner with you. I don't even know you." "You slept with me!" "It's a different thing!"			Nolita	Manhattan	Bar	
SATC-TV4	https://drive.google.com/file/d/1lf8T6hn7Jy44M0RT1yzIBo9z3VudlTA6/view?usp=share_link		Sex and The City	2	18	Ex and the City	Big and Natasha’s Engagement Party	The Plaza Hotel	768 5th Ave	40.76504441	-73.97453706	"Is it possible to transform a once passionate love into something that fits nice and easily onto the friendship shelf? I couldn’t help but wonder, can you be friends with an ex?”			Midtown	Manhattan	Hospitality	
SATC-TV5	https://drive.google.com/file/d/1lf8T6hn7Jy44M0RT1yzIBo9z3VudlTA6/view?usp=share_link		Sex and The City	2	8	The Man, The Myth, The Viagra	Da Marino		220 W 49th St	40.76102174	-73.98502387				Midtown	Manhattan	Dining	
SATC-TV6	https://drive.google.com/file/d/1lf8T6hn7Jy44M0RT1yzIBo9z3VudlTA6/view?usp=share_link		Sex and The City	2	18	Ex and the City	Eleven Madison Park		11 Madison Ave	40.74200267	-73.98648303				Gramercy	Manhattan	Dining	
SATC-TV7	https://drive.google.com/file/d/1lf8T6hn7Jy44M0RT1yzIBo9z3VudlTA6/view?usp=share_link		Sex and The City	3	5	No Ifs, Ands, or Butts	Magnolia Bakery		401 Bleecker St	40.73640773	-74.00512879	"Big wasn't a crush, he was a crash."			West Village	Manhattan	Dining	
SATC-TV8	https://drive.google.com/file/d/1lf8T6hn7Jy44M0RT1yzIBo9z3VudlTA6/view?usp=share_link		Sex and The City	3	15	Hot Child In The City	St. Mark's Comics		51 35th St	40.65770801	-74.00740628		This is not the original location, the original is 11 St. Mark's Place, Manhattan and it closed in 2019.		Industry City	Brooklyn	Retail	
SATC-TV9	https://drive.google.com/file/d/1lf8T6hn7Jy44M0RT1yzIBo9z3VudlTA6/view?usp=share_link		Sex and The City	3	18	Cock-a-Doodle-Do	The Loeb Boathouse		Central Park	40.77511403	-73.96879696				Central Park	Manhattan	Public Park	her fall sent her to the hospital for a tetanus shot
SATC-TV10	https://drive.google.com/file/d/1lf8T6hn7Jy44M0RT1yzIBo9z3VudlTA6/view?usp=share_link		Sex and The City	4	1	The Agony and the Ex-tacy	Il Cantinori		32 E 10th St	40.73273288	-73.99293176				Union Square	Manhattan	Dining	
SATC-TV11	https://drive.google.com/file/d/1lf8T6hn7Jy44M0RT1yzIBo9z3VudlTA6/view?usp=share_link		Sex and The City	4	3	Defining Moments	Monkey Bar		60 E 54th St	40.7600607	-73.97267889				Midtown	Manhattan	Dining	
SATC-TV12	https://drive.google.com/file/d/1lf8T6hn7Jy44M0RT1yzIBo9z3VudlTA6/view?usp=share_link		Sex and The City	4	3	Defining Moments	Tao Uptown		42 E 58th St	40.76288681	-73.9714411				Midtown	Manhattan	Dining	
SATC-TV13	https://drive.google.com/file/d/1lf8T6hn7Jy44M0RT1yzIBo9z3VudlTA6/view?usp=share_link		Sex and The City	6	10	Boy, Interrupted	SoHo House 		29-35 9th Ave	40.74086376	-74.00588005	"I'm Annabelle Bronstein."			Meatpacking District	Manhattan	Public Venue	
SATC-TV14	https://drive.google.com/file/d/1lf8T6hn7Jy44M0RT1yzIBo9z3VudlTA6/view?usp=share_link		Sex and The City	6	14	The Ick Factor	Miranda and Steve's Wedding Venue	Jefferson Market Garden	10 Greenwich Ave	40.73506136	-73.9996163				West Village	Manhattan	Public Park	
SATC-TV15	https://drive.google.com/file/d/1lf8T6hn7Jy44M0RT1yzIBo9z3VudlTA6/view?usp=share_link		Sex and The City	6	17	The Cold War	Pastis		52 Gansevoort St	40.7395129	-74.00695406	"There's ten thousand restaurants in New York and everyone's at Pastis."			Meatpacking District	Manhattan	Dining	
SATC-TV16	https://drive.google.com/file/d/1lf8T6hn7Jy44M0RT1yzIBo9z3VudlTA6/view?usp=share_link		Sex and The City	6	9	A Woman's Right to Shoes	Mahnolo Blahnik		31 West 54th St	40.7621589	-73.97710905	“You can take my Fendi baguette, you can take my ring and my watch, but please don’t take my Manolo Blahniks”.	The original establishment is now closed. 		Midtown	Manhattan	Retail	
SATC-TV17	https://drive.google.com/file/d/1lf8T6hn7Jy44M0RT1yzIBo9z3VudlTA6/view?usp=share_link		Sex and The City	6	8	The Catch	The Flying Trapeze	Circus Academy New York	Pier 40, 353 West St	40.73038927	-74.01007962	"You're queen of the world!"			West Village	Manhattan	Commercial	
SATC-TV18	https://drive.google.com/file/d/1lf8T6hn7Jy44M0RT1yzIBo9z3VudlTA6/view?usp=share_link		Sex and The City				Carrie's Apartment		64 Perry St	40.73548126	-74.00362396	"I couldn't help but wonder..." 			West Village	Manhattan	Private Residence	
SATC-TV19	https://drive.google.com/file/d/1lf8T6hn7Jy44M0RT1yzIBo9z3VudlTA6/view?usp=share_link		Sex and The City				Charlotte's Gallery	Louis K. Meisel Gallery	141 Prince St	40.72636002	-74.00046673				SoHo	Manhattan	Retail	
FRNDS-TV1	https://drive.google.com/file/d/1ncgLd4oRFItMba3_uqcHqv-PbEQHI4vy/view?usp=share_link		Friends	1	15	The One With The Stoned Guy	Solow Building		9 West 57th St	40.76412431	-73.97499343				Midtown	Manhattan	Commericial	
FRNDS-TV2	https://drive.google.com/file/d/1ncgLd4oRFItMba3_uqcHqv-PbEQHI4vy/view?usp=share_link		Friends	2	2	The One With The Breast Milk	Saks 5th Avenue		12 East 49th St	40.75762319	-73.97696489	"Bijan for men? ‘It’s like the mothership is calling you home’"			Midtown	Manhattan	Commericial	
FRNDS-TV3	https://drive.google.com/file/d/1ncgLd4oRFItMba3_uqcHqv-PbEQHI4vy/view?usp=share_link		Friends	2	21	The One With The Bullies	Moondance Diner		80 Sixth Ave	40.71912371	-74.00517958		The original establishment is now closed. 		Tribeca	Manhattan	Dining	
FRNDS-TV4	https://drive.google.com/file/d/1ncgLd4oRFItMba3_uqcHqv-PbEQHI4vy/view?usp=share_link		Friends	3	11	The One Where Chandler Can't Remember Which Sister	Bloomingdales		59th St and 1000 Third Ave, Lexington Ave	40.76308587	-73.96706193				Midtown	Manhattan	Commericial	
FRNDS-TV5	https://drive.google.com/file/d/1ncgLd4oRFItMba3_uqcHqv-PbEQHI4vy/view?usp=share_link		Friends	3	22	The One With The Screamer	Lucille Lortel Theatre		121 Christopher St	40.73395672	-74.00577204				West Village	Manhattan	Commericial	
FRNDS-TV6	https://drive.google.com/file/d/1ncgLd4oRFItMba3_uqcHqv-PbEQHI4vy/view?usp=share_link		Friends	4	11	The One With Pheobe's Uterus	Museum of Natural History		200 Central Park W	40.78146523	-73.97395484				Upper West Side	Manhattan	Museum	
FRNDS-TV7	https://drive.google.com/file/d/1ncgLd4oRFItMba3_uqcHqv-PbEQHI4vy/view?usp=share_link		Friends				FRIEND's Apartment		90 Bedford St	40.73268166	-74.00516571				West Village	Manhattan	Private Residence	
FRNDS-TV8	https://drive.google.com/file/d/1ncgLd4oRFItMba3_uqcHqv-PbEQHI4vy/view?usp=share_link		Friends				Central Perk	The Little Owl	90 Bedford St	40.73268166	-74.00516571				West Village	Manhattan	Dining	
FRNDS-TV9	https://drive.google.com/file/d/1ncgLd4oRFItMba3_uqcHqv-PbEQHI4vy/view?usp=share_link		Friends				Cherry Hill Fountain		Central Park	40.77488542	-73.9727444	"I'll be there for you..."			Central Park	Manhattan	Public Park	
FRNDS-TV10	https://drive.google.com/file/d/1ncgLd4oRFItMba3_uqcHqv-PbEQHI4vy/view?usp=share_link		Friends				Phoebe's Apartment		5 Morton St	40.73285331	-74.00354494				West Village	Manhattan	Private Residence	
GSPGRL-TV1	https://drive.google.com/file/d/1E0AZ9Vm-W8oYaqRmGAmm1W4BsLybK0rR/view?usp=share_link		Gossip Girl	1	1	Pilot	Metropolitan Museum of Art		1000 Fifth Ave	40.7794	-73.9631				Upper East Side	Manhattan	Museum	The very place where Blair Waldorf frequently indulges in leisurely lunches with her loyal minions, perched upon its iconic steps.
GSPGRL-TV2	https://drive.google.com/file/d/1E0AZ9Vm-W8oYaqRmGAmm1W4BsLybK0rR/view?usp=share_link		Gossip Girl	1	1	Pilot	Constance Billard School & St. Jude School	Museum of the City of New York	1220 Fifth Ave at 103rd St	40.792556	-73.951944				Upper East Side	Manhattan	Museum	Grand entrance to both Constance Billard School and St. Jude School
GSPGRL-TV3	https://drive.google.com/file/d/1E0AZ9Vm-W8oYaqRmGAmm1W4BsLybK0rR/view?usp=share_link		Gossip Girl	1	1	Pilot	The Humphrey Loft		55 Water St	40.7035408	-73.9919894				Dumbo	Brooklyn	Private Residence	Where the Humphrey's lived
